Date,Country,Exchange rate
1989-06-29,Australia,1.3231013495633765
1989-06-30,Australia,1.323276432446738
1989-07-03,Australia,1.3063357282821686
1989-07-04,Australia,
1989-07-05,Australia,1.2993762993762994
1989-07-06,Australia,1.3071895424836601
1989-07-07,Australia,1.3049719431032234
1989-07-10,Australia,1.3083867591259977
1989-07-11,Australia,1.3185654008438819
1989-07-12,Australia,1.3138877939823939
1989-07-13,Australia,1.3241525423728815
1989-07-14,Australia,1.323276432446738
1989-07-17,Australia,1.321003963011889
1989-07-18,Australia,1.3227513227513228
1989-07-19,Australia,1.3386880856760375
1989-07-20,Australia,1.332800213248034
1989-07-21,Australia,1.3345789403443213
1989-07-24,Australia,1.3395847287340923
1989-07-25,Australia,1.3356484573260317
1989-07-26,Australia,1.3252054068380599
1989-07-27,Australia,1.3215276860050218
1989-07-28,Australia,1.3368983957219251
1989-07-31,Australia,1.322226629644321
1989-08-01,Australia,1.3138877939823939
1989-08-02,Australia,1.2997140629061608
1989-08-03,Australia,1.3053126223730585
1989-08-04,Australia,1.3073604392731075
1989-08-07,Australia,1.307531380753138
1989-08-08,Australia,1.2993762993762994
1989-08-09,Australia,1.3020833333333333
1989-08-10,Australia,1.3087292239235702
1989-08-11,Australia,1.3175230566534915
1989-08-14,Australia,1.315097317201473
1989-08-15,Australia,1.3252054068380599
1989-08-16,Australia,1.320480654958405
1989-08-17,Australia,1.3236267372600927
1989-08-18,Australia,1.289324394017535
1989-08-21,Australia,1.3135426244581636
1989-08-22,Australia,1.3059945148230376
1989-08-23,Australia,1.3063357282821686
1989-08-24,Australia,1.3157894736842106
1989-08-25,Australia,1.3192612137203166
1989-08-28,Australia,1.315097317201473
1989-08-29,Australia,1.3039509714434736
1989-08-30,Australia,1.3046314416177431
1989-08-31,Australia,1.3077023669412842
1989-09-01,Australia,1.3170025023047545
1989-09-04,Australia,
1989-09-05,Australia,1.3194352816994326
1989-09-06,Australia,1.3125082031762698
1989-09-07,Australia,1.3131976362442548
1989-09-08,Australia,1.3046314416177431
1989-09-11,Australia,1.30941469163284
1989-09-12,Australia,1.3083867591259977
